"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"notopodPUc1_sg2r",1567572,83153,64673,61435,3,0,0,646,8,9
"notopodPUc1_sg3l",1339088,95117,79389,73871,2,6,6,859,14,16
"PRCal1",12115,162013,103916,95718,0,10,10,738,28,29
"PRCal2",151847,220440,131743,118391,0,14,14,843,35,47
"PRCal3",6743,183975,130225,118634,4,21,21,876,38,43
"PRCal4",7501,191774,118106,106224,1,27,27,977,31,34
"PRCal5",10536,178840,110938,99673,2,26,26,752,29,31
"PRCal6",11731,109126,69611,60933,0,2,2,561,12,13
"PRCal7",11135,118462,66496,58388,1,5,5,620,12,15
"PRCar1",23921,203941,139311,128719,1,27,27,906,37,42
"PRCar2",24659,166328,109934,104339,3,15,15,723,35,40
"PRCar3",24849,139830,87061,74991,0,1,1,659,22,24
"PRCar4",25010,244124,173931,164276,2,33,33,1109,53,61
"PRCar5",26163,199975,141857,132560,0,20,20,815,37,40
"PRCar6",27064,165642,124961,118973,1,11,11,713,30,38
"PRCar7",27917,140519,92518,87275,0,7,7,743,21,24
"PRCpl1",13459,200982,129479,120814,5,29,29,1109,48,54
"PRCpl2",14162,161338,102840,96781,2,21,21,857,34,36
"PRCpl3",58694,203887,123217,108080,1,25,25,1168,40,42
"PRCpl4",58877,233511,106948,93642,2,14,14,1145,25,27
"PRCpl5",58968,219381,106526,86347,1,3,3,1063,22,25
"PRCpr1",16668,252959,149696,131197,3,5,5,1143,36,39
"PRCpr2",15519,204047,109049,92786,0,7,7,970,18,22
"PRCpr3",19515,217557,149073,141319,3,19,19,933,38,46
"PRCpr4",22876,192691,137988,130167,1,18,18,939,37,45
"PRCpr5",59671,140529,96843,88612,0,13,13,696,23,24
"pygCirrusCR1l",1278903,161027,119941,112653,18,37,37,2274,5,6
"pygCirrusCR1r",1366275,157322,101047,93534,8,3,3,1604,28,29
"pygCirrusCR2l",1287162,104678,75223,71010,3,8,8,1254,12,13
"pygCirrusCR2r",1279563,248338,150453,141893,11,40,40,2623,35,36
"pygCirrusCR3r",1324600,225996,141320,129310,15,59,59,2682,11,12
"pygCirrusMSPUc2r pygidium 1279526",1279525,238186,155192,146694,4,16,16,2505,44,49
"pygCirrusPBc12",1324518,103718,64645,59540,6,39,39,1242,7,8
"pygCirrusPBc13",1335777,87478,57507,53504,8,19,19,1068,11,12
