"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"IN_sg0l 1359788",1359787,125270,78213,67694,1,8,8,516,16,17
"IN_sg3 1528624",1528623,64249,51279,49824,4,0,0,500,8,10
"IN_vc_r8 357456-RRT with soma",357455,140741,113014,110281,11,2,2,1042,54,57
"INangle_l 1346139",1346138,134918,110036,107466,1,2,2,1064,43,48
"INangle_r 766683",766682,107350,88857,87250,4,1,1,732,25,28
"INantlercurve 56101",56100,137592,111091,107044,7,22,22,1088,55,63
"INarc1l",1732448,519033,336326,310578,98,49,49,3196,110,117
"INarc1r",774105,463069,295612,272057,77,14,14,2540,111,118
"INarc2l",1306584,677145,434277,413149,64,46,46,5355,147,151
"INarc2r",637265,587934,342262,321047,58,14,14,4243,97,100
"INasc-l 1645748",1645747,294077,147676,135766,5,0,0,1795,32,33
"INasc-r 1446516",1446515,221185,151928,148036,11,7,7,2292,36,37
"INasc_pygl1",1387104,480628,290609,264637,40,15,15,4281,53,55
"INasc_pygl2",2015919,613576,373355,353988,43,25,25,5395,116,121
"INasc_pygr1",1312289,640911,399721,376794,92,35,35,5325,150,155
"INasym_r",1275595,205482,157772,145709,31,9,9,1305,50,52
"INATO_pygl",55057,469858,271890,262838,3,54,54,3685,109,118
"INATO_pygr",1732300,396454,218106,210214,5,54,54,3461,74,79
"INbackcross1_l",1339377,713789,346517,266102,10,4,4,3133,37,39
"INbackcross1_r",1371922,840574,410836,262749,7,1,1,2962,20,22
"INbackcross2_r",1551483,554753,344675,308956,5,3,3,2654,54,57
"INbackcross3_l",1728550,291690,198719,180093,4,0,0,2255,21,24
"INbackcross3_r",577483,222069,154095,146405,4,0,0,1821,19,20
"INbiax_l",801132,496829,331363,299996,20,23,23,3015,86,87
"INbiax_r",798041,941337,503221,458242,30,52,52,5826,117,121
"INbiax_sg1r1 1583195",1583195,380609,164252,156777,10,17,17,2177,60,63
"INbiaxH_sg1l",1304654,437796,180397,165722,15,23,23,2560,55,58
"INbiaxH_sg1r",1562433,189328,101093,96737,9,3,3,1344,34,35
"INbiaxH_sg2l1",1845563,550346,342691,331887,38,63,63,5185,144,153
"INbiaxH_sg2l2",1302247,357461,259213,252044,24,55,54,4089,106,110
"INbiaxH_sg2r",1617129,487457,252926,243102,26,55,55,3591,103,109
"INbiaxHmid_sg2l",1436570,280804,177641,171041,2,19,19,2638,68,70
"INbiaxHmid_sg2r",628517,235598,154875,151250,10,15,15,2496,52,55
"INbiaxLeg_sg2l1",1366510,316766,179299,172706,7,14,14,2552,53,57
"INbiaxLeg_sg2l2",1624567,439665,235934,226939,31,35,35,3222,92,94
"INbiaxLeg_sg2r1",1383171,309448,192426,185151,17,14,14,2886,66,72
"INbiaxonCR_sg1l",1351221,376719,159054,145209,13,27,26,1911,56,58
"INbigloop_l1",1470654,212649,126554,111543,3,4,4,1028,36,41
"INbigloop_l2",1316572,238500,144832,133874,2,4,4,1253,43,45
"INbigloop_r1",1307663,266300,186958,171880,6,5,5,1386,49,52
"INbigloop_r2",1215017,502334,270721,241250,9,21,21,2567,69,72
"INbiped_sg1r",227221,633999,353640,335698,23,77,76,4752,128,129
"INbush 1299491",1299490,99701,85438,83570,5,0,0,687,26,31
"INbush 1732126",1732125,137552,110683,107133,7,0,0,827,44,53
"INbush 762388",762387,133674,107535,104426,6,1,1,850,46,52
"INchaeMech_sg3l",1400756,228946,171526,165218,44,25,25,2507,64,67
"INchaeMech_sg3r",1963755,342884,179292,171889,30,44,44,2840,57,59
"INCM_sg1l1",1312678,515183,228079,205893,95,47,47,2163,79,80
"INCM_sg1r1",1613646,548143,243655,222103,97,72,71,2374,100,104
"INcomm-Downarc_sg2r1",1278959,136035,107656,104875,19,10,10,1541,40,42
"INcomm-DownL_sg1l",1739198,351638,199113,181533,29,44,44,2755,58,60
"INcomm-DownL_sg1r",1652177,397706,193514,184155,18,43,43,3031,57,58
"INcomm-DownL_sg2l1",1386139,147400,113975,111087,23,13,13,1514,35,39
"INcomm-Upcross_sg1l1",827510,489934,299269,277833,9,25,25,2516,86,98
